minBytes,maxBytes,arenaCount,totalBytes,avgBytes,arenaPct,bytePct
0,0,465,0,0.0,0.0008691157801090723,0.0
1,1,1388,1388,1.0,0.0025942638769707363,3.354364234435487e-05
2,3,3997,10261,2.567175381536152,0.007470657576550457,0.00024797645107739577
4,7,41866,178629,4.266684182869154,0.07825032526891704,0.0043169072682491105
8,15,32487238,259932027,8.001050350910102,60.720798275180854,6.281748521276076
16,31,20874018,430305326,20.614398531226716,39.01492137221682,10.399141177388348
32,63,11425,534961,46.82371991247265,0.021354081263970218,0.01292834326525823
64,127,2285,195968,85.76280087527353,0.004270816252794044,0.0047359369617712786
128,255,41408,6535585,157.83387268160743,0.07739429295216445,0.15794475918669346
256,511,4707,1634600,347.27002336944975,0.008797694574136351,0.039503197245016185
512,1023,605,423457,699.9289256198347,0.0011307850472386854,0.010233638441075995
1024,2047,496,576171,1161.6350806451612,0.0009270568321163438,0.01392426077319113
2048,4095,108,344845,3193.009259259259,0.00020185914892855873,0.008333830939653498
4096,8191,14,88280,6305.714285714285,2.6166926712961316e-05,0.0021334529871467204
8192,16383,31258,258282221,8262.915765564016,0.058423271085267486,6.241877842312408
16384,32767,22,578561,26298.227272727272,4.1119456263224926e-05,0.013982019638611164
32768,65535,45,2037352,45274.48888888889,8.41079787202328e-05,0.04923646024319602
65536,131071,108,9782136,90575.33333333333,0.00020185914892855873,0.23640379780103613
131072,262143,117,22886396,195610.22222222222,0.0002186807446726053,0.5530929985412636
262144,524287,276,107140353,388189.6847826087,0.0005158622694840946,2.589249050201677
524288,1048575,803,582755763,725723.2415940224,0.0015008601536077098,14.083394011659674
4194304,8388607,1,4194305,4194305.0,1.8690661937829512e-06,0.1013633046132128
33554432,67108863,1,33554433,33554433.0,1.8690661937829512e-06,0.8109062677374773
268435456,536870911,1,268435457,268435457.0,1.8690661937829512e-06,6.487249972731593
2147483648,4294967295,1,2147484440,2147484440.0,1.8690661937829512e-06,51.89801872869395
