pid,arenaCount,totalBytes,bucketCount
33913,1,2147484440,1
33955,22822241,445179856,3
40865,990,381010614,9
33930,198,306863477,14
33867,30481765,244448775,12
33905,85,85000000,1
33926,85,85000000,1
33954,85,85000000,1
33964,85,85000000,1
16631,6008,49217536,1
16633,6008,49217536,1
23904,2552,20905984,1
23905,2552,20905984,1
23906,2552,20905984,1
23907,2552,20905984,1
23908,2552,20905984,1
23909,2552,20905984,1
23910,2552,20905984,1
34302,20003,3640810,2
33922,37477,3237408,19
23970,308,3080308,1
23969,308,3080308,1
23972,308,3080308,1
33895,250,2500000,1
33863,75885,1001004,5
23257,12,917136,1
21696,12,917136,1
34664,6248,795858,4
34870,6242,795666,4
34535,6240,795602,4
23117,8,467312,2
23248,6,447312,1
33943,2698,215800,4
23938,24,196608,1
23939,24,196608,1
23945,24,196608,1
23944,24,196608,1
23946,24,196608,1
23947,24,196608,1
23949,24,196608,1
33916,276,158380,12
33918,276,158380,12
33921,276,158380,12
33923,276,158380,12
22290,2,149320,1
21508,2,149320,1
21350,3,60000,2
23955,1,40000,1
23958,1,40000,1
23964,1,40000,1
23967,1,40000,1
33889,220,38180,8
33803,356,36810,10
33960,2284,35552,6
33949,1847,34156,4
33952,1847,34156,4
33928,8,32448,2
22222,1,32000,1
42755,1,32000,1
42823,1,32000,1
40853,7,29696,4
23365,2,20000,1
23367,2,20000,1
23369,2,20000,1
23371,2,20000,1
23956,2,20000,1
23968,2,20000,1
23984,2,20000,1
23998,2,20000,1
33899,1000,18556,4
33901,1000,18556,4
29650,13,13099,1
34638,38,10502,1
34641,38,10502,1
33924,15,8504,5
23953,1,6400,1
34536,105,5586,3
34537,142,4872,5
33935,3,4108,3
34587,136,4034,7
33872,62,3096,5
33868,20,2963,8
33917,29,2896,3
33919,29,2896,3
31738,1,2630,1
33934,85,2114,5
30574,1,2042,1
34523,129,1344,6
34524,129,1344,6
33936,12,600,2
34534,39,592,5
33909,21,576,3
33869,64,512,1
33946,9,448,2
33864,5,352,2
33893,62,340,3
33861,38,304,1
33862,38,304,1
33958,3,304,2
33962,3,304,2
33933,12,192,1
33929,8,80,1
33879,1,64,1
33866,10,40,1
33870,10,40,1
33875,10,40,1
33882,10,40,1
35455,5,40,1
35459,5,40,1
35464,5,40,1
35468,5,40,1
33896,3,24,1
33865,1,8,1
33886,1,8,1
33902,1,8,1
33908,1,8,1
33907,1,8,1
33897,1,4,1
34540,1,4,1
34594,1,3,1
