minBytes,maxBytes,arenaCount,totalBytes,avgBytes,arenaPct,bytePct,arenaPctOfOriginal,bytePctOfOriginal
0,0,375934768,0,0.0,47.6607280966836,0.0,47.66069885152725,0.0
1,1,698,698,1.0,8.84919167984089e-05,1.9003675905806026e-05,8.849186249877804e-05,1.0182739762895494e-05
2,3,947,2293,2.4213305174234425,0.00012005995015486136,6.242898116334272e-05,0.00012005987648473181,3.345132131277846e-05
4,7,3666,20896,5.699945444626295,0.000464772732067288,0.0005689123377188005,0.0004647724468775363,0.00030484030098204047
8,15,400951293,3207623039,8.000031662199927,50.832304384484914,87.33041355465988,50.83227319321385,46.79425596505012
16,31,1319249,23693411,17.959771809567414,0.16725339934725522,0.6450743606691396,0.1672532967186969,0.34565019814946346
32,63,10536488,433206075,41.11484538301567,1.3358080507785584,11.794423853476072,1.3358072311117835,6.319806196891673
64,127,1704,152148,89.28873239436619,0.00021603184272849391,0.0041423657331183025,0.00021603171016893667,0.0022196038530730997
128,255,21552,3930584,182.37676317743134,0.002732346405213909,0.10701367400651388,0.002732344728615565,0.05734113751891235
256,511,1063,375614,353.3527751646284,0.00013476634320445368,0.01022642796802783,0.0001347662605103167,0.00547962695315219
512,1023,537,385827,718.4860335195531,6.80804574795782e-05,0.010504486051159629,6.808041570464729e-05,0.005628618817333352
1024,2047,256,339638,1326.7109375,3.24554881094451e-05,0.009246949107874136,3.245546819439424e-05,0.004954792790243983
2048,4095,115,365642,3179.495652173913,1.457961379916479e-05,0.009954931326003906,1.4579604852950537e-05,0.005334150905995178
4096,8191,9,46924,5213.777777777777,1.1410132538476793e-06,0.0012775479773696875,1.1410125537091725e-06,0.0006845485395904128
8192,16383,255,2548896,9995.670588235294,3.232870885901758e-05,0.06939597922866096,3.232868902175989e-05,0.03718444792361787
16384,32767,1,16384,16384.0,1.2677925042751993e-07,0.00044606909174889104,1.267791726343525e-07,0.00023901720383277903
32768,65535,7,265536,37933.71428571428,8.874547529926393e-07,0.007229455709633395,8.874542084404674e-07,0.00387375929180547
