pid,arenaCount,totalBytes,bucketCount
53540,757500000,3207557752,2
53630,30625910,455751120,3
53670,20003,3640810,2
53563,250,2500000,1
53561,11398,1321555,17
53534,41385,1001004,6
53585,276,158380,12
53589,276,158380,12
53593,276,158380,12
53594,276,158380,12
53472,99,108539,15
53602,177,80026,9
53571,555,41694,12
53553,1365,38180,9
53617,1968,36600,6
53632,3088,35296,4
53625,1814,33900,6
53627,1814,33900,6
56586,7,29696,4
53568,1115,18300,6
53569,1115,18300,6
53600,3,16224,2
51745,13,13099,1
53595,17,8504,6
53795,22,6006,1
53796,22,6006,1
53688,13,5394,6
53689,114,4616,6
53592,21,4572,4
53605,3,4108,3
53744,84,3778,9
53586,27,2880,2
53588,27,2880,2
52390,1,2630,1
51039,1,2042,1
53604,11,1610,5
54056,6,1138,2
53683,80,1088,6
53684,80,1088,6
53686,6,978,2
53818,6,978,2
53538,85,776,3
53537,81,512,2
53607,11,500,2
53685,28,328,4
53577,25,320,3
53530,40,304,2
53533,40,304,2
53622,3,192,2
53531,5,96,2
53601,66,80,2
53536,13,63,4
53629,6,48,2
53631,6,48,2
54121,5,40,1
54125,5,40,1
54129,5,40,1
54135,5,40,1
53564,10,24,2
53535,2,8,1
53539,2,8,1
53543,2,8,1
53547,2,8,1
53692,1,4,1
53752,1,3,1
53527,1008,0,1
53526,1008,0,1
53574,1,0,1
53581,0,0,0
53575,0,0,0
53590,525,0,1
53583,170521,0,1
53591,0,0,0
53598,177169,0,1
53612,2,0,1
53621,1,0,1
53623,1,0,1
53606,0,0,0
53619,150882,0,1
53628,0,0,0
53635,48945,0,1
53525,1,0,1
53718,4,0,1
53757,1,0,1
53747,6,0,1
53764,1,0,1
53763,8354,0,1
53767,1,0,1
53766,1,0,1
53768,1,0,1
53772,1,0,1
53774,1,0,1
56606,0,0,0
