minBytes,maxBytes,arenaCount,totalBytes,avgBytes,arenaPct,bytePct
0,0,375934768,0,0.0,47.66069885152725,0.0
1,1,698,698,1.0,8.849186249877804e-05,1.0182739762895494e-05
2,3,947,2293,2.4213305174234425,0.00012005987648473181,3.345132131277846e-05
4,7,3666,20896,5.699945444626295,0.0004647724468775363,0.00030484030098204047
8,15,400951293,3207623039,8.000031662199927,50.83227319321385,46.79425596505012
16,31,1319249,23693411,17.959771809567414,0.1672532967186969,0.34565019814946346
32,63,10536488,433206075,41.11484538301567,1.3358072311117835,6.319806196891673
64,127,1704,152148,89.28873239436619,0.00021603171016893667,0.0022196038530730997
128,255,21552,3930584,182.37676317743134,0.002732344728615565,0.05734113751891235
256,511,1063,375614,353.3527751646284,0.0001347662605103167,0.00547962695315219
512,1023,537,385827,718.4860335195531,6.808041570464729e-05,0.005628618817333352
1024,2047,256,339638,1326.7109375,3.245546819439424e-05,0.004954792790243983
2048,4095,115,365642,3179.495652173913,1.4579604852950537e-05,0.005334150905995178
4096,8191,9,46924,5213.777777777777,1.1410125537091725e-06,0.0006845485395904128
8192,16383,255,2548896,9995.670588235294,3.232868902175989e-05,0.03718444792361787
16384,32767,1,16384,16384.0,1.267791726343525e-07,0.00023901720383277903
32768,65535,7,265536,37933.71428571428,8.874542084404674e-07,0.00387375929180547
65536,131071,3,261888,87296.0,3.8033751790305753e-07,0.0038205406175145775
131072,262143,1,131072,131072.0,1.267791726343525e-07,0.0019121376306622322
262144,524287,7,2646016,378002.28571428574,8.874542084404674e-07,0.038601278418993815
524288,1048575,249,221253850,888569.6787148594,3.156801398595377e-05,3.227751255141426
1048576,2097151,202,283202448,1401992.3168316833,2.5609392872139204e-05,4.131485427219117
8388608,16777215,20,220000000,11000000.0,2.53558345268705e-06,3.209459524121789
268435456,536870911,1,306783385,306783385.0,1.267791726343525e-07,4.475494803775326
2147483648,4294967295,1,2147484440,2147484440.0,1.267791726343525e-07,31.328474494824306
