minBytes,maxBytes,arenaCount,totalBytes,avgBytes,arenaPct,bytePct
0,0,465,0,0.0,0.00010511889598194526,0.0
1,1,1388,1388,1.0,0.0003137742529525592,2.0929235094443945e-05
2,3,3997,10261,2.567175381536152,0.000903570381160936,0.00015472253696260037
4,7,41866,178629,4.266684182869154,0.00946431763264542,0.00269349303723734
8,15,419089022,3360732771,8.019138165351418,94.74016195869498,50.67548000998634
16,31,23178136,467171214,20.1556852544139,5.239699069332001,7.0443344143824085
32,63,11421,534833,46.828911653970756,0.002581855722601714,0.008064586162295922
64,127,2280,195648,85.81052631578947,0.0005154216835243767,0.00295011742633845
128,255,21408,2895585,135.25714686098655,0.0048395383337236225,0.04366165648483103
256,511,4458,1569266,352.0112157918349,0.0010077850285752947,0.0236624906626208
512,1023,592,410358,693.1722972972973,0.00013382878800282064,0.006187665025133882
1024,2047,494,573105,1160.1315789473683,0.0001116746980969483,0.008641678154755977
2048,4095,103,333248,3235.4174757281553,2.328440061535562e-05,0.005024946496219925
4096,8191,7,44696,6385.142857142857,1.5824349932765955e-06,0.0006739575589202209
8192,16383,252,2516385,9985.654761904761,5.696765975795744e-05,0.03794381358294836
16384,32767,1,16384,16384.0,2.260621418966565e-07,0.00024704941483239885
32768,65535,6,232768,38794.666666666664,1.3563728513799389e-06,0.003509838756818104
65536,131071,2,131073,65536.5,4.52124283793313e-07,0.0019764103973588265
131072,262143,1,131072,131072.0,2.260621418966565e-07,0.0019763953186591908
524288,1048575,341,340524289,998604.9530791789,7.708719038675987e-05,5.134663472513957
4194304,8388607,1,4194305,4194305.0,2.260621418966565e-07,0.06324466527579374
33554432,67108863,1,33554433,33554433.0,2.260621418966565e-07,0.5059572166554525
268435456,536870911,1,268435457,268435457.0,2.260621418966565e-07,4.047657627692723
2147483648,4294967295,1,2147484440,2147484440.0,2.260621418966565e-07,32.38127284324229
