pid,arenaCount,totalBytes,bucketCount
14249,415081808,3320673808,2
14413,1,2147484440,1
14958,27121759,505995416,3
14929,198,306863477,14
14408,85,85000000,1
14733,85,85000000,1
14938,85,85000000,1
14957,85,85000000,1
14395,250,2500000,1
14414,29081,2298274,12
14250,15005,1558963,19
14363,75885,1001004,5
14417,6248,795858,4
14256,6240,795602,4
14955,6238,795538,4
14946,2698,215800,4
14418,276,158380,12
14427,276,158380,12
14562,276,158380,12
14712,276,158380,12
14391,220,38180,8
14961,2284,35552,6
14953,1847,34156,4
14956,1847,34156,4
14927,8,32448,2
14400,1000,18556,4
14401,1000,18556,4
14843,15,8504,5
14257,99,5202,3
14258,142,4872,5
14935,3,4108,3
14306,136,4034,7
14372,63,3160,5
14368,20,2963,8
14419,29,2896,3
14422,29,2896,3
14932,85,2114,5
14251,129,1344,6
14253,129,1344,6
14936,12,600,2
14255,39,592,5
14410,21,576,3
14367,64,512,1
14952,9,448,2
14364,5,352,2
14360,38,304,1
14362,38,304,1
14960,3,304,2
14962,3,304,2
14930,12,192,1
14928,8,80,1
14254,1,64,1
14366,10,40,1
14369,10,40,1
14376,10,40,1
14380,10,40,1
14397,3,24,1
14365,1,8,1
14382,1,8,1
14396,1,8,1
14409,1,8,1
14403,1,8,1
14259,1,4,1
14398,1,4,1
14314,1,3,1
