module	fit	confidence	path	line	class	method	field	fieldLine	fieldType	fieldMods	paramCount	sync	assignmentsTotal	nullAssignments	rationale	signature	context
demo	Cached Method	high	src/demo/share/java2d/J2DBench/src/j2dbench/tests/text/TextTests.java	294	j2dbench.tests.text.TextTests		s	319	return		0	False	6	0	returns cached field; cache/lazy naming or comment		291:static HashMap strcache = new HashMap(tscripts.length); | 293:String s = (String)strcache.get(key);
demo	Cached Method	high	src/demo/share/jfc/J2Ddemo/java2d/MemoryMonitor.java	246	java2d.MemoryMonitor		pts	128	int[]	private	0	True	2	0	synchronized lazy path; cache/lazy naming or comment		
java.base	Lazy Constant	high	src/java.base/aix/classes/sun/nio/ch/AixAsynchronousChannelProvider.java	41	sun.nio.ch.AixAsynchronousChannelProvider		defaultPort	48	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/aix/classes/sun/nio/ch/AixAsynchronousChannelProvider.java	43	sun.nio.ch.AixAsynchronousChannelProvider		defaultPort	48	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/linux/classes/jdk/internal/platform/cgroupv1/CgroupV1Subsystem.java	60	jdk.internal.platform.cgroupv1.CgroupV1Subsystem		INSTANCE	68	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/linux/classes/jdk/internal/platform/cgroupv1/CgroupV1Subsystem.java	63	jdk.internal.platform.cgroupv1.CgroupV1Subsystem		INSTANCE	68	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/linux/classes/jdk/internal/platform/cgroupv2/CgroupV2Subsystem.java	80	jdk.internal.platform.cgroupv2.CgroupV2Subsystem		INSTANCE	91	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/linux/classes/jdk/internal/platform/cgroupv2/CgroupV2Subsystem.java	86	jdk.internal.platform.cgroupv2.CgroupV2Subsystem		INSTANCE	91	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/linux/classes/sun/nio/ch/LinuxAsynchronousChannelProvider.java	40	sun.nio.ch.LinuxAsynchronousChannelProvider		defaultPort	47	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/linux/classes/sun/nio/ch/LinuxAsynchronousChannelProvider.java	42	sun.nio.ch.LinuxAsynchronousChannelProvider		defaultPort	47	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/macosx/classes/sun/nio/ch/BsdAsynchronousChannelProvider.java	40	sun.nio.ch.BsdAsynchronousChannelProvider		defaultPort	47	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Lazy Constant	high	src/java.base/macosx/classes/sun/nio/ch/BsdAsynchronousChannelProvider.java	42	sun.nio.ch.BsdAsynchronousChannelProvider		defaultPort	47	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/io/ObjectStreamClass.java	1997	java.io.ObjectStreamClass		reflector	2004	return		0	False	3	0	returns cached field; cache/lazy naming or comment		1994:var clReflectors = Caches.reflectors.get(cl);
java.base	Cached Method	high	src/java.base/share/classes/java/io/ObjectStreamClass.java	2222	java.io.ObjectStreamClass		mh	2221	MethodHandle		0	False	14	0	returns cached field; cache/lazy naming or comment		2220:// check the cached value 1st
java.base	Cached Method	high	src/java.base/share/classes/java/io/ObjectStreamClass.java	2224	java.io.ObjectStreamClass		mh	2221	MethodHandle		0	False	14	0	returns cached field; cache/lazy naming or comment		2220:// check the cached value 1st
java.base	Cached Method	high	src/java.base/share/classes/java/io/ObjectStreamField.java	286	java.io.ObjectStreamField		sig	289	return		0	False	2	0	returns cached field; cache/lazy naming or comment		283:// This lazy calculation is safe since signature can be null iff one
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Byte.java	119	java.lang.Byte		archivedCache	112	Byte[]	static	0	False	1	0	static backing field; cache/lazy naming or comment		117:// Load and use the archived cache if it exists | 118:CDS.initializeFromArchive(ByteCache.class); | 119:if (archivedCache == null) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Character.java	9432	java.lang.Character		archivedCache	9425	Character[]	static	0	False	1	0	static backing field; cache/lazy naming or comment		9430:// Load and use the archived cache if it exists | 9431:CDS.initializeFromArchive(CharacterCache.class); | 9432:if (archivedCache == null) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Class.java	705	java.lang.Class		tmpConstructor	704	Constructor<T>		0	False	2	0	cache/lazy naming or comment		704:Constructor<T> tmpConstructor = cachedConstructor;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Class.java	3436	java.lang.Class		constants	3451	return		0	False	2	0	returns cached field; cache/lazy naming or comment		3432:* uncloned, cached, and shared by all callers.
java.base	Cached Method	high	src/java.base/share/classes/java/lang/ClassValue.java	184	java.lang.ClassValue		map	422	return		0	False	7	0	cache/lazy naming or comment		180:/** Return the cache, if it exists, else a dummy empty cache. */ | 181:private static Entry<?>[] getCacheCarefully(Class<?> type) { | 182:// racing type.classValueMap{.cacheArray} : null => new Entry[X] <=> new Entry[Y] | 184:if (map == null)  return EMPTY_CACHE; | 186:Entry<?>[] cache = map.getCache(); | 187:return cache;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/IO.java	191	java.lang.IO		br	196	return		0	True	1	0	synchronized lazy path; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Integer.java	926	java.lang.Integer		cache	901	Integer[]	static	0	False	1	0	static backing field; cache/lazy naming or comment		926:if (cache != null) { | 927:// IntegerCache has been AOT-initialized. | 928:precomputed = cache;
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Long.java	928	java.lang.Long		archivedCache	921	Long[]	static	0	False	1	0	static backing field; cache/lazy naming or comment		926:// Load and use the archived cache if it exists | 927:CDS.initializeFromArchive(LongCache.class); | 928:if (archivedCache == null) {
java.base	Cached Method	high	src/java.base/share/classes/java/lang/ModuleLayer.java	804	java.lang.ModuleLayer		modules	810	Set<Module>	private volatile	0	False	3	0	volatile backing field; returns cached field		
java.base	Cached Method	high	src/java.base/share/classes/java/lang/Process.java	624	java.lang.Process		outputWriter	631	return		0	True	1	0	synchronized lazy path; returns cached field		
