project,commit,source_path,line,protocol_or_fields,sites,classification,static_sites,lazy_constant_compatible_memo_sites,rationale
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/base/Suppliers.java,144,MemoizingSupplier.get/value,1,strong memoization,0,0,"One successful supplier result is established; failed user-supplier calls are retried, so sticky failure is not generically compatible."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/base/Suppliers.java,191,NonSerializableMemoizingSupplier.get/value,1,strong memoization,0,0,"One successful supplier result is established; failed user-supplier calls are retried, so sticky failure is not generically compatible."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/util/concurrent/AggregateFutureState.java,84,getOrInitSeenExceptions/seenExceptionsField,1,strong memoization,0,1,"CAS selects the one mutable set that all callers must subsequently update; construction and initial population are deterministic."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/base/Converter.java,302,reverse/reverse,1,weak memoization,0,1,"Racing reverse views are interchangeable and construction is deterministic."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/io/BaseEncoding.java,890,"upperCase, lowerCase, ignoreCase",3,weak memoization,0,3,"Derived encodings are interchangeable; validation failures depend only on the immutable alphabet."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/net/MediaType.java,1345,"hashCode, toString",2,weak memoization,0,2,"The immutable media type deterministically produces interchangeable scalar results."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/collect/ImmutableSet.java,316,asList/asList,1,weak memoization,0,1,"Derived immutable views are interchangeable and construction is non-throwing apart from catastrophic failures."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/collect/ImmutableMap.java,761,"entrySet, keySet, values",3,weak memoization,0,3,"Derived immutable views are interchangeable and construction is deterministic."
Guava,5694ba06e5fbe896372b1975cf2ca50a8ec8cfa9,guava/src/com/google/common/cache/LocalCache.java,4328,"keySet, values",2,weak memoization,0,2,"The view wrappers share the same cache and are behaviorally interchangeable."
Jackson Databind,070722ed964a636fa688744e4bb11ec865b5f4d6,src/main/java/tools/jackson/databind/BeanDescription.java,405,"LazySupplier.getClassInfo, LazySupplier.get",2,lazy initialization,0,0,"Configured introspection and annotation hooks can invoke extension code; duplicate execution can be observable."
Jackson Databind,070722ed964a636fa688744e4bb11ec865b5f4d6,src/main/java/tools/jackson/databind/DeserializationContext.java,529,"DeserializationContext.classIntrospector, SerializationContext.classIntrospector",2,lazy initialization,0,0,"The configured introspector is an extension point and must not be recreated through competing or retried provider calls."
Jackson Databind,070722ed964a636fa688744e4bb11ec865b5f4d6,src/main/java/tools/jackson/databind/util/EnumValuesToWrite.java,79,"_enumNames, _enumNamesLC, _enumToStrings, _enumToStringsLC",4,lazy initialization,0,0,"Enum naming strategies and overridden Enum.toString methods are user code, so repeated population can change behavior."
Jackson Databind,070722ed964a636fa688744e4bb11ec865b5f4d6,src/main/java/tools/jackson/databind/util/ArrayBuilders.java,31,"seven primitive-array builder getters",7,weak memoization,0,7,"Each builder is a replaceable allocation owned by a confined context; construction is non-throwing."
Caffeine,8047b24488477a144d44ef6f9a38ea2470082420,caffeine/src/main/java/com/github/benmanes/caffeine/cache/BoundedLocalCache.java,3215,"keySet, values, entrySet",3,weak memoization,0,3,"View wrappers share the same cache and distinct candidates are interchangeable."
