library	module	class_or_group	line_refs	best_fit	sites	confidence	comment
Spring Boot	buildpack/spring-boot-buildpack-platform	org.springframework.boot.buildpack.platform.docker.DockerApi	DockerApi.java:83,173	Cached Method	1	high	Volatile ApiVersion memoized after a Docker API call. Duplicate calls are likely benign; exceptions already retry.
Spring Boot	spring-boot-autoconfigure	AutoConfigurationImportSelector.AutoConfigurationGroup	AutoConfigurationImportSelector.java:447,514	Cached Method	1	high	Lazily loads AutoConfigurationMetadata for an import group; pure classpath metadata read.
Spring Boot	spring-boot-autoconfigure	AutoConfigurationSorter.AutoConfigurationClass	AutoConfigurationSorter.java:280	Cached Method	1	high	Caches AnnotationMetadata for a class name. CAS duplicate metadata reads are acceptable.
Spring Boot	spring-boot-autoconfigure	TemplateAvailabilityProviders	TemplateAvailabilityProviders.java:54,59,144	Lazy Collection/Table	2	medium	Two keyed caches: provider resolution by view and bounded template availability cache.
Spring Boot	spring-boot-buildpack-platform	DockerRegistryConfigAuthentication	DockerRegistryConfigAuthentication.java:46,122	Lazy Collection/Table	1	medium	Static credential helper cache keyed by registry/server URL. Needs credential lifecycle review.
Spring Boot	spring-boot-buildpack-platform	TotalProgressListener	TotalProgressListener.java:38,65	Lazy Collection/Table	1	high	Layer progress objects are created on demand by layer id.
Hibernate ORM	hibernate-core	org.hibernate.internal.util.collections.LazyIndexedMap	LazyIndexedMap.java:55	Lazy Collection/Table	1	high	Purpose-built indexed lazy map; representative of keyed table demand.
Hibernate ORM	hibernate-core	MutationBindTemplate	MutationBindTemplate.java:44	Lazy Collection/Table	1	high	Synchronized static TEMPLATE_CACHE computeIfAbsent for mutation bind templates.
Hibernate ORM	hibernate-core	CurrentTimestampGeneration	CurrentTimestampGeneration.java:165	Lazy Collection/Table	1	high	Generator delegates are memoized by key with putIfAbsent.
Hibernate ORM	hibernate-core	LazyAttributesMetadata	LazyAttributesMetadata.java:61	Lazy Collection/Table	1	high	Lazy metadata table for enhanced attributes.
Hibernate ORM	hibernate-core	CachingDatabaseInformationImpl	CachingDatabaseInformationImpl.java:49,61,73,87	Lazy Collection/Table	4	high	Namespace, table, sequence, and key metadata caches.
Hibernate ORM	hibernate-core	QueryInterpretationCacheStandardImpl	QueryInterpretationCacheStandardImpl.java:192	Lazy Collection/Table	1	high	Native query parameter interpretation cache.
Hibernate ORM	hibernate-core	TypeConfiguration	TypeConfiguration.java:658	Lazy Collection/Table	1	medium	Array/tuple type cache keyed by type shape.
Hibernate ORM	hibernate-core	InternalCache and LegacyInternalCacheImplementation	InternalCache.java:58; LegacyInternalCacheImplementation.java:47	Lazy Collection/Table	2	medium	Cache abstraction and legacy implementation capture repeated compute-if-absent patterns.
Hibernate ORM	hibernate-core	StatsNamedContainer	StatsNamedContainer.java:60,84	Lazy Collection/Table	1	medium	Named statistics container has custom compute-if-absent behavior.
Vaadin Flow	flow-server	com.vaadin.flow.internal.BeanUtil.LazyValidationAvailability	BeanUtil.java:384	Lazy Constant	1	high	Initialization-on-demand holder computes bean validation availability once.
Vaadin Flow	vaadin-spring	SpringLookupInitializer	SpringLookupInitializer.java:64,82	Lazy Collection/Table	2	high	Caches service lookups and cacheability decisions by service type.
Vaadin Flow	vaadin-spring	VaadinServletContextInitializer.CustomResourceLoader	VaadinServletContextInitializer.java:1023	Lazy Collection/Table	1	medium	Lock-protected resource cache; table semantics fit better than scalar cached methods.
